Country,Ease of doing business rank (1=most business-friendly regulations),Renewable energy (% of total energy),Control of corruption,GDP per capita growth (annual %),Fossil fuel energy consumption (% of total),"Risk premium on lending (lending rate minus treasury bill rate, %)",Market capitalization of listed domestic companies (% of GDP)
Australia,14,12.3,1.78120493888855,0.941014568468177,89.6256301102374,3.35104166666667,99.3088529440474
Austria,27,36,1.1336532831192,-1.93014550333265,65.6618219894727,,26.0820003958763
Belgium,46,11.7,1.3368444442749,0.330761544683028,75.8707843536824,,59.1725980275377
Canada,23,23.8,1.67150104045868,-1.67686294923784,74.089062024806,2.18333333333333,126.983151424105
Chile,59,24.2,0.968603789806366,-0.320572085984224,74.6472122625678,,94.4112197756343
Colombia,67,29.7,-0.309191286563873,-0.511064130774713,76.685692626894,,19.8107649922979
Costa Rica,74,34.2,0.653749406337738,4.6227538695518,49.8802727339625,,3.22348803495399
Czechia,41,17.2,0.767809867858887,-1.85042130485776,77.7345870580784,3.05974397082289,9.54471813927969
Denmark,4,39.5,2.37605309486389,1.73831324527245,64.9270894675666,,60.0627719491543
Estonia,18,38,1.53812229633331,-4.54079780667568,13.0562153357344,,
Finland,20,50.2,2.22151660919189,-1.65611536097759,40.2079829899529,,10.3031020945572
France,33,16.2,1.18482184410095,0.607649186397026,46.4879708722364,,85.0578939321398
Germany,22,17.6,1.66416621208191,0.353884463349871,78.862551056755,,45.385377869877
Greece,79,21.5,0.0978469252586365,2.63987981955106,82.5746351336883,,26.9714579777506
Hungary,52,15.3,-0.000498130626510829,-0.368525543460265,69.549793691078,3.8394394846834,13.4837195669164
Iceland,26,82.4,1.55130612850189,2.00742256232689,11.288868750735,2.49530544726383,
Ireland,24,12.7,1.5752888917923,-8.05568600205125,85.3428197664443,,27.854658159892
Israel,35,6.2,0.829359412193298,0.332891432159684,97.3821241260262,1.28800825635785,51.3594431840401
Italy,58,17.5,0.550129175186157,0.732099290773135,79.9484547354947,1.30662291666667,27.0245462552316
Japan,30,8.8,1.3956606388092,2.17578291223812,93.0264551074629,1.20166666666667,126.408745829905
"Korea, Rep.",5,3.6,0.894088566303253,1.2782352431086,81.0284758071445,,98.2431064158576
Latvia,19,44,0.698113977909088,1.8117824899081,56.7174275733725,,
Lithuania,11,33.2,0.781545519828796,-1.05357703458839,67.9937494705635,,
Luxembourg,72,20.5,1.92665910720825,-3.07357168889484,80.562295207665,,62.3416621097955
Mexico,60,13,-1.02057874202728,2.30380690084846,90.4262079109407,0.4941666666667,31.0296040169208
Netherlands,42,12.2,1.86710047721863,-0.911427833032306,93.4610046096056,,129.693697691587
New Zealand,1,28.9,2.08409547805786,-1.30909730372859,59.7491685361223,2.99666666666667,39.5348385888856
Norway,9,61.4,2.11352157592773,-0.657512864771078,56.9516286499811,,72.3067416526895
Poland,40,15.2,0.565399944782257,0.505669211124399,90.2913754356553,,21.2270923160449
Portugal,39,32.3,0.696312069892883,1.13212883498659,77.024122555839,,25.5825785281109
Slovak Republic,45,17.9,0.292565286159515,1.47196774387082,64.0914950988802,,5.28639997202104
Slovenia,37,23.4,0.776647090911865,1.70880508049775,61.114199486892,,13.6352131410655
Spain,31,19,0.629368722438812,1.42527469236005,72.9555461183378,,46.0075030884494
Sweden,10,57.9,2.0282461643219,-0.780807367826782,25.1170961346531,1.34636666666666,86.7703250169263
Switzerland,36,27.7,2.02199912071228,-0.541794294858562,50.1682254807986,,223.66388401479
Turkiye,34,12,-0.50248908996582,4.6848743835486,86.843187660708,,36.3801470009873
United Kingdom,8,12.2,1.48091387748718,-0.480663557904705,80.3517712672552,0.119916666666667,99.420077236848
United States,6,10.9,1.12343263626099,2.38266938077211,82.4278282452692,3.20611111111111,154.951152065724
